Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
311.2006,17ahprgstrn,M-H2O-H[-],174.1,0.00100553322999986,EC0001
160.0604,1mncam,M+Na[1+],278.8,0.0003634667700112,EC0002
146.9386,3spyr,M-H2O-H[-],43,0.000732020029971636,EC0003
164.95,3spyr,M-H[-],127.9,6.79799699980776e-05,EC0004
244.8765,3spyr,M+Br[-],46.9,0.00099151319997759,EC0003
246.8736,3spyr,M+Br81[-],47,9.1513200004556e-05,EC0003
200.9721,4nphsf,M-H2O+H[1+],297.1,0.000509022969993111,EC0005
465.2491,5adtststeroneglc,M-H[-],144.3,0.000276533229964571,EC0006
481.2444,5adtststeroneglc,M-H+O[-],138.5,0.000113466770017112,EC0006
511.2557,5adtststeroneglc,M+HCOO[-],141.2,0.00140199999998458,EC0006
525.2703,5adtststeroneglc,M+CH3COO[-],138.7,0.00035200000002078,EC0006
350.1552,5adtststerones,M-H2O-H[-],58.4,0.000493264629994883,EC0007
465.2491,ahandrostanglc,M-H[-],144.3,0.000276533229964571,EC0006
481.2444,ahandrostanglc,M-H+O[-],138.5,0.000113466770017112,EC0006
511.2557,ahandrostanglc,M+HCOO[-],141.2,0.00140199999998458,EC0006
525.2703,ahandrostanglc,M+CH3COO[-],138.7,0.00035200000002078,EC0006
220.1056,alpam,M-H2O+H[1+],183.4,0.000606153370000584,EC0008
465.2491,andrstrnglc,M-H[-],144.3,0.000276533229964571,EC0006
481.2444,andrstrnglc,M-H+O[-],138.5,0.000113466770017112,EC0006
511.2557,andrstrnglc,M+HCOO[-],141.2,0.00140199999998458,EC0006
525.2703,andrstrnglc,M+CH3COO[-],138.7,0.00035200000002078,EC0006
384.3838,arachcrn,M-C3H4O2+H[1+],61.8,0.000162533229968176,EC0009
456.4048,arachcrn,M+H[1+],63.5,6.25332299932779e-05,EC0009
448.3425,arachdcrn,M+H[1+],68.6,0.000364595129951795,EC00010
449.3458,arachdcrn,M(C13)+H[1+],68.4,0.000264595129976897,EC00010
466.3529,arachdcrn,M+H2O+H[1+],69.2,0.000164595129945155,EC00010
348.0705,C00020,M+H[1+],262.3,0.000123533229952955,EC00011
204.0592,C00021,M+H+Na[2+],174.8,0.000123533229981376,EC00012
385.1286,C00021,M+H[1+],174.4,0.000276466770003481,EC00012
386.1326,C00021,M(C13)+H[1+],174.6,0.000323533230016437,EC00012
407.1106,C00021,M+Na[1+],175.3,0.000276466770060324,EC00012
463.0385,C00021,M+Br[-],175.2,0.00139999999998963,EC00012
87.0084,C00022,M-H[-],141.8,0.000323533230016437,EC00013
87.0089,C00022,M-H[-],49.7,0.00017646676998595,EC00014
88.0123,C00022,M(C13)-H[-],50.1,0.00017646676998595,EC00014
102.055,C00025,M-HCOOH+H[1+],184.5,7.64667699826305e-05,EC00015
120.0655,C00025,M-CO+H[1+],183.9,2.35332300064783e-05,EC00015
128.0354,C00025,M-H2O-H[-],209.8,7.6466770025263e-05,EC00016
130.0499,C00025,M-H2O+H[1+],188.4,2.35332300064783e-05,EC00015
130.04996,C00025,M-H2O+H[1+],77.9,8.35332299971014e-05,EC00017
146.0459,C00025,M-H[-],184.2,2.35332300064783e-05,EC00015
146.04594,C00025,M-H[-],58.3,1.64667700062182e-05,EC00018
167.021,C00025,M+Na-2H[-],53,0.0003529335399719,EC00018
145.0143,C00026,M-H[-],88.4,7.64667699968413e-05,EC00019
145.01438,C00026,M-H[-],199.2,0.000156466769993813,EC00020
547.0388,C00029,M-H2O-H[-],176.1,0.00167646677004996,EC00021
565.0485,C00029,M-H[-],174.2,0.000776466770048501,EC00021
161.0455,C00031,M-H2O-H[-],101.1,2.35332299780566e-05,EC00022
179.056,C00031,M-H[-],50.1,0.000123533229981376,EC00023
203.0526,C00031,M+Na[1+],171.9,7.64667699968413e-05,EC00024
220.0823,C00031,M+ACN-H[-],53.5,0.000368533229988088,EC00023
89.0245,C00031,M-2H[2-],180.3,7.64667699968413e-05,EC00025
89.02453,C00031,M-2H[2-],50.3,0.000106466769992153,EC00023
112.9881,C00036,M-H2O-H[-],47.8,7.64667699968413e-05,EC00026
112.9882,C00036,M-H2O-H[-],238.2,0.000176466770000161,EC00027
146.9934,C00036,M-H+O[-],257.5,0.00013353322998455,EC00027
88.0404,C00041,M-H[-],155.1,2.35332300064783e-05,EC00028
88.04045,C00041,M-H[-],52.6,2.64667699951815e-05,EC00029
90.055,C00041,M+H[1+],178.9,2.35332300064783e-05,EC00030
91.0583,C00041,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00030
117.0194,C00042,M-H[-],179.5,7.64667699968413e-05,EC00031
99.0088,C00042,M-H2O-H[-],55.8,7.64667699826305e-05,EC00032
103.123,C00047,M-CO2+H[1+],186.8,2.35332300064783e-05,EC00033
111.0917,C00047,M-H4O2+H[1+],186,0.000123533229995587,EC00033
129.1022,C00047,M-H2O+H[1+],179.8,2.35332300064783e-05,EC00034
129.1023,C00047,M-H2O+H[1+],102.9,0.000123533230009798,EC00035
130.0863,C00047,M-NH3+H[1+],196.9,2.35332299780566e-05,EC00033
147.1128,C00047,M+H[1+],191.3,2.35332299780566e-05,EC00033
148.1161,C00047,M(C13)+H[1+],190.1,7.6466770025263e-05,EC00033
182.0459,C00047,M+K-2H[-],200.7,0.000547066460029555,EC00033
132.0302,C00049,M-H[-],88.2,2.35332299780566e-05,EC00036
132.03022,C00049,M-H[-],14.4,3.53322997170835e-06,EC00037
218.007,C00049,M+HCOOK[1+],93.8,0.000923533230007934,EC00036
547.0388,C00052,M-H2O-H[-],176.1,0.00167646677004996,EC00021
565.0485,C00052,M-H[-],174.2,0.000776466770048501,EC00021
137.9866,C00059,M+ACN-H[-],217.2,6.85332299781294e-05,EC00038
166.9628,C00059,M+HCOONa[1+],215.4,0.000723533230001294,EC00038
96.9601,C00059,M-H[-],76.9,2.35332300064783e-05,EC00039
96.96014,C00059,M-H[-],6.8,1.64667699920074e-05,EC00040
96.9602,C00059,M-H[-],217.7,7.64667699968413e-05,EC00038
98.9558,C00059,M(S34)-H[-],7.6,0.000123533230009798,EC00040
173.1043,C00062,M-H[-],52.4,0.000123533230009798,EC00041
175.1189,C00062,M+H[1+],196.2,7.6466770025263e-05,EC00042
176.1223,C00062,M(C13)+H[1+],196.7,7.6466770025263e-05,EC00042
197.1009,C00062,M+Na[1+],196.7,7.6466770025263e-05,EC00042
101.071,C00064,M-HCOOH+H[1+],187.9,2.35332300206892e-05,EC00043
127.0514,C00064,M-H2O-H[-],50,0.000176466770014372,EC00044
129.0659,C00064,M-H2O+H[1+],180.8,0.000123533230009798,EC00045
129.06592,C00064,M-H2O+H[1+],78.4,0.000143533230016146,EC00046
130.0499,C00064,M-NH3+H[1+],188.4,2.35332300064783e-05,EC00043
130.04996,C00064,M-NH3+H[1+],77.9,8.35332299971014e-05,EC00046
145.0619,C00064,M-H[-],49.5,7.6466770025263e-05,EC00044
147.0766,C00064,M+H[1+],187.9,0.000223533230013118,EC00043
147.07667,C00064,M+H[1+],78,0.000293533230006915,EC00046
169.0584,C00064,M+Na[1+],188,2.35332300064783e-05,EC00043
106.0499,C00065,M+H[1+],190,2.35332300064783e-05,EC00047
88.0393,C00065,M-H2O+H[1+],190,2.35332300064783e-05,EC00047
149.0449,C00072,M-CO+H[1+],46.9,0.000523533229994655,EC00048
157.0143,C00072,M-H2O-H[-],202.9,7.64667699968413e-05,EC00049
175.0247,C00072,M-H[-],62.1,0.000123533230009798,EC00050
175.0248,C00072,M-H[-],144.2,2.35332300064783e-05,EC00051
191.0197,C00072,M-H+O[-],57.4,3.35332300096525e-05,EC00050
87.0084,C00072,M-2H[2-],141.8,0.000373533230018097,EC00051
87.0089,C00072,M-2H[2-],49.7,0.00012646676998429,EC00048
104.0529,C00073,M-HCOOH+H[1+],164,2.35332300206892e-05,EC00052
